artist,release,label,review
Light: On The South Side,,Numero,"Gorgeous and heavy-duty: a hardback of photos of mid-70s South Side Chicago clubland — Kools, cars, sex, threads, booze, Pimp Oil — with a juicy double-LP of funky blues. To Europe only; UK postage free."
Lightnin' Slim,Rooster Blues,Excello,"The Baton Rouge man’s first LP, from 1960, collecting various Excello classics. Searing electric guitar; brother-in-law Slim Harpo on harmonica; a no-prisoners rhythm section dosed with New Orleans r’n'b."
Like Nashville In Naija,Nigeria's Romance With Country Music Yesterday And Today,Comb And Razor Sound,NA
Mance Lipscomb,Texas Sharecropper And Songster,Arhoolie,NA
Little Walter,The Blues World Of Little Walter,Delmark,"The great man aged nineteen, with Baby Face Leroy and Muddy Waters.
The Parkway sessions, supplemented by J. B. Lenoir and Sunnyland Slim."
Little Walter,Confessin' The Blues,Dol,NA
Little Walter,Mean Old Frisco,Juke Box Jam,NA
Little Willie John,Nineteen Sixty Six: The David Axelrod And HB Barnum Sessions,Kent,"A last testament, previously unreleased, authoritatively covering the bases during a break from the life sentence which saw him die in jail of pneumonia, two years later. James Brown’s favourite singer."
Little Willie John,Heaven All Around Me,Ace,"Some great sides here, cut for King between 1961 and 1963, on the cusp between rhythm and blues and soul (with country music oiling the wheels)."
Little Willie John,Home At Last,Kent,NA
Lonnie Johnson,Portraits In Blues,Pure Pleasure,"When Eddie Lang recorded with LJ in New York in 1929, he changed his name to Blind Willie Dunn, because whites and blacks weren’t supposed to work together like this. 
Thirty years later in London, Tony Donegan — the King Of Skiffle, top of the pops — loved Johnson so much, he nabbed his first name. 
On his own terms, here is the pioneering blues guitarist — whose one-note picking influenced everyone from Robert Johnson to Django to T-Bone to Dylan — alive and kicking in Copenhagen in 1963, backed by Otis Spann."
Lord Have Mercy,The Soulful Gospel Of Checker Records,Play Back,NA
Louis Jordan,And His Tympany Five,JSP,NA
Louis Jordan,Rock Doc!,Rev-Ola,NA
Lowell Fulson,,Doxy,"Terrific, swinging blues — ‘his own blend of the Texas styles of Lightnin’ Hopkins and Blind Lemon Jefferson with the West Coast jump sound of Charles Brown and Ivory Joe Hunter’ — a Chess one-off."
Magic Sam,West Side Soul,Delmark,NA
Mahalia Jackson,Moving On Up A Little Higher,Shanachie,NA
Marion Williams,Packin' Up: The Best of,Shanachie,"‘America’s greatest singer’; ‘the greatest gospel singer of her generation’; ‘the greatest singer ever’ (Pulse, Time, Rolling Stone). Check the title track for her influence on Little Richard, The Isley Brothers, James Brown and co. Stuffed with gems."
Percy Mayfield,"The Voice Within: The Specialty Singles, 1950-55",Rev-Ola,NA
Percy Mayfield,Nightless Lover,Hoodoo,"Every Specialty single, both sides, from 1950-4, by the great, great Percy Mayfield.
Killer writer, killer singer."
Percy Mayfield,My Jug And I,4 Men With Beards,"‘Well, I spoke to the river, and the river spoke back to me, and it said, You look so lonely, you look full of misery.’"
Tommy McClennan,The Bluebird Recordings 1939-1942,Doxy,NA
Fred McDowell,Amazing Grace,Sutro Park,"Starkly moving ‘Mississippi Delta spirituals’ with the Hunter’s Chapel Singers in Hunter’s Chapel of Como Mississippi. Including Fred’s signature tune, You Got To Move."
Fred McDowell,The Alan Lomax Recordings,Mississippi,NA
Fred McDowell,I Do Not Play No Rock N' Roll,Water,"Playing electric guitar on this 1969 recording for Just Sunshine, including some fiery bottleneck. FM originals like You Got To Move — covered by the Rolling Stones on Sticky Fingers — and a Joe Williams."
Fred McDowell,Delta Blues,Arhoolie,"The most celebrated of North Mississippi bluesmen — and one of his very best couple of records, from 1964. Like all these Arhoolie LP reissues, 180g vinyl (‘bottleneck brown’) presented in old-school tip-on sleeves, with download codes."
Blind Willie McTell,Best Of Blind Willie McTell,Yazoo,NA
Blind Willie McTell,"The Early Years, 1927-1933",Yazoo,NA
Blind Willie McTell,Searching The Desert For The Blues,Monk,"Okehs (as Georgia Bill), Victors (Hot Shot Willie) and Vocalions (Blind Willie) — with another amazing Georgia blues guitarist, Curley Weaver, and two fine Atlanta singers, Ruth Willis and Ruby Glaze."
Blind Willie McTell,East St.Louis,Doxy,"Rare cuts for Regal Records in Atlanta in 1950, also featuring guitarist Curley Williams. This is the first time that many of these tracks have ever been issued on vinyl."
Blind Willie McTell,Fare You Well,Monk,Recorded for Vocalion (in New York City) and Decca (in Chicago) these tracks from the mid-thirties mark the height of McTell’s recording career. That’s his wife Kate singing on Ain’t It Grand To Be A Christian.
Blind Willie McTell,1927-1935,Yazoo,NA
Blind Willie McTell,Atlanta Twelve String,Atlantic,NA
Meade Lux Lewis,Melancholy,Blue Note,NA
Mean Mothers,"Independent Women's Blues, Volume 1",Rosetta,NA
Memphis Jug Band,,Yazoo,NA
Memphis Slim,The Real Folk Blues,Dol,NA
Amos Milburn,Let's Have A Party!,Rev-Ola,NA
Mississippi Blues 1927-1941,,Yazoo,NA
Mississippi John Hurt,1928 Sessions,Yazoo,NA
"Moaning, Groaning, Crying",A Galaxy Of Soul And R 'n B,Kent,NA
Muddy Waters,Folk Singer,Wax Love,NA
Muddy Waters,Down On Stovall's Plantation,Doxy,"His first recordings, from 1941. Alan Lomax came across him running a juke joint in Mississippi. With Henry Sims on violin, Louis Ford on mandolin, and Percy Thomas on guitar."
Muddy Waters,The Real Folk Blues,Dol,NA
Muddy Waters,Sings Big Bill,Dol,NA
Muddy Waters,At Newport 1960,Dol,NA
Muddy Waters,After The Rain,Get On Down,NA
Muddy Waters,Hard Again,Sony,NA
Muddy Waters,King Bee,Sony,NA
Muddy Waters,I'm Ready,Sony,NA
Muddy Waters,Unk In Funk,Chess,NA
Negro Spirituals,The Concert Tradition,Fremeaux,"Running back to 1909 - the more refined, dignified, classical style of Paul Robeson, and the University groups and Glee Clubs, to run alongside the church and field-recording rawness which is all the rage."
New Deal Blues,,Mamlish,"Excellent compilation of country blues, 1933-39. 
Bo Carter, Scrapper Blackwell, Walter Davis, Black Ace… and less well-known names, like Peanut The Kidnapper and One Arm Slim.
‘One Arm Slim’s piano is rather erratic due to the fact that he is probably using only one hand,’ according to the sleevenotes."
Laura Nyro,Christmas And The Beads Of Sweat,Pure Pleasure,"Her third Columbia, from 1970.
With Muscle Shoals crew on side one — Roger Hawkins, Eddie Hinton, Barry Beckett and co — and a lineup joining the Armenian oud-plyer Ashod Garabedian, Duane Allman and Alice Coltrane, for crying out loud, on side two. 
‘I love my country as it dies in war and pain before my eyes. I walk the streets where disrespect has been. The sins of politics, the politics of sin, the heartlessness that darkens my soul… on Christmas.’"
The Johnny Otis Story,"Volume 1: Midnight At The Barrelhouse, 1945-1957",Ace,"From early bandleader stuff through to the peak of the great man’s worldwide popularity, with his first and biggest Capitol hits. Featuring Pete ‘Guitar’ Lewis, and the likes of Big Mama Thornton and Little Esther"
Johnny Otis,"On With The Story: The Johnny Otis Story, Volume 2",Ace,"Regal rhythm and blues, rock and roll, big-band funk and the rest from this amazing man, with his son Shuggie just coming into view."
Otis Taylor,Hey Joe Opus: Red Meat,in-akustik,"‘The song made famous by Jimi Hendrix (with whom a young Taylor jammed) becomes the centrepiece of a gaunt meditation on betrayal and murder, cast in Taylor’s customary ‘trance blues’ mode; guitar drones shot through with cornet, fiddle and banjo and fronted by his growling declamations… A visceral tour de force’ (The Guardian)."
Rev Louis Overstreet,Blessings Of All Kinds,Little Axe Records,NA
Isaiah Owens,"You Without Sin, Cast The First Stone",Mississippi,"Thrilling primitive gospel from Alabama. Fuzzy, loud, dissonant guitar somewhere between Pops Staples, John Lee Hooker and the outsider R ‘n B of Hasil Adkins. True testifyin’ magic, and highly recommended."
Parchman Farm,Photographs And Field Recordings: 1947-1959,Dust To Digital,"Handsome, 124-page book, with 77 photos and various essays; 44 recordings, 12 previously-unreleased, all newly remastered. Blues, hollers, spirituals, work-songs.
‘These songs are a vivid reminder of a system of social control and forced labor that has endured in the South for centuries, and I do not believe that the pattern of Southern life can be fundamentally reshaped until what lies behind these roaring, ironic choruses is understood’ (Alan Lomax)."
Charley Patton,High Water Everywhere,Monk,"‘Oh, Lordy, women and grown men drown / Oh, women and children sinkin’ down, Lord, have mercy / I couldn’t see nobody’s home and wasn’t no one to be found.’"
Charley Patton,Primeval Blues Rags And Gospel Songs,Yazoo,NA
Charley Patton,Complete Recordings 1929 - 1934,JSP,NA
Charley Patton,Founder Of The Delta Blues,Yazoo,NA
Washington Phillips,Washington Phillips And His Manzarene Dreams,Dust To Digital,NA
Please Warm My Weiner,Old Time Hokum Blues,Yazoo,"Bawdy, vaudevillian malarkey, both country and urban, with no messing musically. Stuff like Banana Man, You Put It In I’ll Take It Out, I Had To Give Up Gym, Elevator Papa Switchboard Mama. Crumb cover."
Professor Longhair,"No Buts, No Maybes",Hoodoo,"Essential sides for labels including Atlantic, Mercury, Federal and Ebb, between 1949 and 1957."
Professor Longhair,Mardi Gras In New Orleans 1949-1957,Nighthawk,NA
Professor Longhair,New Orleans Piano,Atlantic,NA
Snooky Pryor,Snooky Pryor And The Country Blues,Today Records,NA
Jimmy Reed,Jimmy Reed Is Back,The Roots Records,NA
Jimmy Reed,Found Love,Vee Jay,NA
Jimmy Reed,I’m Jimmy Reed,Vee Jay,NA
Jimmy Reed,Just Jimmy Reed,Vee Jay,NA
Reggie Grantham & The New Generation,Come Together,Ice City,"An electro-gospel-boogie banger, clapping and synthy, with a splash of Chic, from mid-eighties North Carolina, and originally out on Shurfine.
“We all need each other no matter our skin color or background, we should love each other as God tells us to.”
Ace."
Rev. Jodie Holmes,When I Could I Wouldn’t And Now I Want To But I Can’t,Detroit Gospel Reissue Project,NA
Rev. Lonnie Farris,A Night At The House Of Prayer,Buked And Scorned,NA
Reverend Charlie Jackson,God's Got It: The Legendary Booker and Jackson Singles,CaseQuarter,NA
Reverend Gary Davis,The Complete Early Recordings,Yazoo,NA
Reverend Gary Davis,Lifting The Veil: The First Bluesmen,World Arbiter,"With Leadbelly, Ramblin’ Thomas, Charley Patton and co."
Reverend Gary Davis,If I Had My Way,Folkways,"Early home recordings (from 1953), with the missus and another preacher."
Reverend Gary Davis,Pure Religion And Bad Company,Folkways,"Gospel vocals and deft blues and ragtime instrumentals from 1957, including the first recorded performances of the Davis classics Hesitation Blues and Cocaine Blues."
Reverend Gary Davis,New Blues And Gospel,Sutro Park,NA
Reverend Gary Davis,Twelve Gates To The City,Mr Suit,NA
Reverend Sam Dixon,My Soul Says Yes,Asherah,NA
Rhythm & Bluesin' By The Bayou,"Livin', Lovin' & Lyin'",Ace,NA
Charlie Rich,Too Many Teardrops — The Complete Groove & RCA Recordings,Ace,NA
Tommy Ridgley,Jam Up,Jazzman,NA
Boyd Rivers,You Can't Make Me Doubt,Mississippi,"Heavy, impassioned gospel scorchers, one side electric, the other acoustic. All previously unreleased, except Fire In My Bones, from the killer Tompkins Square compilation (and Last Time Around)."
Hubert Robinson,High Class Woman,Juke Box Jam,NA
Rocks And Waves Song Circle,Songs I-V,Sing A Song Fighter,NA
Rolling With The Punches,The Allen Toussaint Songbook,Ace,NA
Roots Of Ska,USA And Jamaica 1942-1962,Fremeaux,NA
Rosco Gordon,Bootin': The Best of the RPM Years,Ace,NA
Roy Brown,Pay Day Jump - Later Sessions,Ace,NA
Otis Rush,Cobra,Rumble,"Searing, cornerstone Chicago blues. Double Trouble… f-u-c-k-i-n-g h-e-l-l… with Ike Turner on second guitar. Otis Rush, barely turned twenty, total genius."
Otis Rush,Mourning In The Morning,Sundazed,NA
Otis Rush,Double Trouble,Jewel,NA
The Satintones,Sing! The Complete Tamla And Motown Singles Plus,Ace,"Fine Detroit doo wop, Drifters and Coasters style, definitively presented in this limited edition."
Saved & Sanctified,Songs Of The Jade Label,Numero,NA
Scrapper Blackwell,The Virtuoso Guitar Of Scrapper Blackwell,Yazoo,NA
Shattered Dreams,"Funky Blues, 1967-78",BGP,NA
Shirley Finney,Pray Again,Rain&Shine,NA
The Sixth Station,Deep Night,Numero,NA
Skip James,Greatest Of The Delta Blues Singers,Sutro Park,NA
Skip James,The Complete 1931 Sessions,Yazoo,NA
Bessie Smith,"Empress of the Blues, Volume 2, 1926-1933",JSP,NA
Son House & J.D. Short,Delta Blues,Folkways,NA
Sonny Boy Williamson,The Real Folk Blues,Dolchess,NA
Sonny Boy Williamson,The Original,JSP,"With Big Joe Williams, Robert McCoy, Henry Townsend, Yank Rachell and co."
Sonny Boy Williamson,Down And Out Blues,Dol,"The 1959 album collecting mid-fifties killers with Muddy Waters, Willie Dixon, Jommy Rogers, Otis Spann and co."
Sonny Boy Williamson,One Way Out,Dol,NA
Sonny Boy Williamson,Bummer Road,Dol,NA
Sorrow Come Pass Me Around,A Survey Of Rural Black Religious Music,Dust To Digital,Terrific collection of spiritual and gospel songs performed in informal non-church settings between 1965-1973 — mostly guitar-accompanied and performed by active or former blues artists.
Soul Chronology,"2, This Old Soul Of Mine",History Of Soul Records,NA
Soul Chronology,"3, Save A Seat For Me",History Of Soul Records,NA
Otis Spann,Otis Spann Is The Blues,Candid,"The great blues pianist — Muddy Waters’ mainstay — makes his debut as leader in 1960, with Robert Lockwood Jr. playing guitar."
Otis Spann,Portraits In Blues,Pure Pleasure,NA
Victoria Spivey,Kings And The Queen,Doxy,"The second of two records issuing from 1962 sessions with Big Joe Williams, Memphis Slim, Roosevelt Sykes, and Lonnie Johnson (and Bob Dylan on harmonica). Originally released on VS’s own Spivey imprint."
The Staple Singers,Will The Circle Be Unbroken?,Mississippi,"From 1961, with highlights including a definitive version of the title song, the intense Too Close — recorded live in church — and the stunning Downward Road."
The Staple Singers,Swing Low,Mississippi,"Their third LP, from 1963 — with I’ve Been Scorned, This May Be The Last Time, The Day Is Passed And Gone, Two Wings…"
The Staple Singers,Hammer And Nails,4 Men With Beards,"Their inimitable, streamlined, Southern gospel — including terrific stuff like Gloryland and Nobody Knows The Trouble I’ve Seen —  recorded in its prime for Riverside in 1962. (It was pitched at the burgeoning white-folk audience. Mavis and Bob Dylan were courting. ‘I call that my lost love. The love I lost because I didn’t go and marry him. I was just too young.’)"
