artist,release,label,cat_no,review,release_id
Rhythm & Sound,Smile (w/ Savage),Rhythm & Sound,04,"Sparse, deeply pulsating, subtly dubbed out Ambient Techno/Dub House groover",25713
Basic Channel,Radiance,Basic Channel,08,Pioneering Ambient Techno in Dub mode,00038
Maurizio,Ploy,Maurizio,01,"1992 Techno classic w/ eternal, beautiful UR version",00001
Vainqueur,Lyot,Maurizio,02,Techno classic w/ seminal Maurizio mix,00002
Rhythm & Sound,Carrier,Rhythm & Sound,05,"Wonderful, pulsating Ambient Techno",26636
Rhythm & Sound,SMY Remixes #2,Burial Mix,BMX 2,With a ingenious Soundstream anthem,50619
Maurizio,M 5,Maurizio,05,"Essential, universal, pure Dub House/Techno groove",10071
Basic Channel,Lyot Rmx,Basic Channel,03,Deep shaped reworks of Phylyps Trak & Lyot,00033
Rhythm & Sound w/ Paul St. Hilaire,Jah Rule,Burial Mix,07,"Coloured vinyl first press, one copy in mint condition - 2001 Rhythm & Sound production",04645
Rhythm & Sound w/ Shalom,We Been Troddin,Burial Mix,08,"Coloured vinyl first press, one copy in mint condition - 2002 Rhythm & Sound production",36527
Rhythm & Sound w/ Chosen Brothers,Making History,Burial Mix,09,"Coloured vinyl first press, one copy in mint condition - 2002 Rhythm & Sound production",37880
Rhythm & Sound w/ Love Joy,Best Friend,Burial Mix,10,"Coloured vinyl first press, one copy in mint condition - 2002 Rhythm & Sound production",38973
Rhythm & Sound w/ Jennifer Lara,Queen In My Empire,Burial Mix,11,"Coloured vinyl first press, one copy in mint condition - 2003 Rhythm & Sound production",39522
Rhythm & Sound w/ Chosen Brothers,Mash Down Babylon,Burial Mix,12,"Coloured vinyl first press, one copy in mint condition - 2003 Rhythm & Sound production",41897
Rhythm & Sound w/ Jah Batta,Music Hit You,Burial Mix,13,"Coloured vinyl first press, one copy in mint condition -  2002 Rhythm & Sound production",41865
Rhythm & Sound,SMY Remixes #1,Burial Mix,BMX 1,"Purely magical, extended Villalobos’ version",50212
Rhythm & Sound w/ Cornel Campbell,King In My Empire,Burial Mix,06,"Coloured vinyl first press, one copy in mint condition - 2001 Rhythm & Sound production",33949
Rhythm & Sound,SMY Remixes #3,Burial Mix,BMX 3,Third in a series w/ interpretations for ’Se Mi Ya’,50885
Rhythm & Sound w/ Paul St. Hilaire,Spend Some Time,Burial Mix,02,"12"" repress of former 10"". No recut - 1996 Rhythm & Sound production",13176
Rhythm & Sound w/ Paul St. Hilaire,Ruff Way,Burial Mix,03,"12"" repress of former 10"". No recut - 1997 Rhythm & Sound production",16769
Rhythm & Sound w/ Paul St. Hilaire,What a Mistry,Burial Mix,04,"12"" repress of former 10"". No recut - 1997 Rhythm & Sound production",18027
Rhythm & Sound w/ Paul St. Hilaire,Why,Burial Mix,05,"12"" repress of former 10"". No recut - 1997 Rhythm & Sound production",20579
Rhythm & Sound w/ Paul St. Hilaire,Never Tell You,Burial Mix,01,"12"" repress of former 10"". No recut - 1996 Rhythm & Sound production",12236
Rhythm & Sound,the versions,Burial Mix,BMD 3,Collection of all the instrumental versions of BMD-2. An essential dub album!,41896
Rhythm & Sound,Rhythm & Sound,Rhythm & Sound,RSD 1,"Selected cuts from former 12"", dub electronica",35211
Basic Channel,BCD,Basic Channel,BCD 1,Compilation of early 1990s blueprint techno - Highly Recommended!,01279
Basic Channel,BCD-2,Basic Channel,BCD 2,Compilation of early 1990s blueprint techno - Highly Recommended!,38948
Rhythm & Sound w/ Paul St. Hilaire,Showcase,Burial Mix,BMD 1,"Collection of the first five 10”s - great house flav. reggae, incl. versions - TIP!",23074
Maurizio,M-Series,Maurizio,MCD,"Compilation of famous 12"" series in slightly shortened versions w/ exclusive M7 mix",17223
Round One to Round Five,1993 - 99,Main Street,MSD 1,"Essential compilation of the five Main Street 12""s",28636
Rhythm & Sound,See Mi Yah Remixes,Burial Mix,BMXD 1,"Compilation of remixes for Rhythm & Sound’s ""See Mi Yah"" album",51493
DJ Skull,The DJ Skull Saga pres. Stomping Grounds,Chiwax,CDJS 001,Re-issue of 1993 Djax Up gem - a great piece of Ron Maney prod. jacking Chicago House - Essential EP!,76682
Various Artists,Sweet House Chicago,Still Music,LP 014,Proper reissue of classic late 1980s Chicago House w/ strong echoes on Synth Pop / New Wave,01077
On The House,Ride The Rhythm,Trax,121,"Reissue via UK; original House w/ Marshall Jefferson, Ron Hardy & Frankie Knuckles collaborating",09274
Black Ice Productions,Black Ice EP Vol.1,Large,VC 01,Reissue via UK; quality deep moody Chicago house tracks (originally out on Velvet City Records),08093
Various Artists,Kstarke Records - The House That Jackmaster Hater Built (Part 1),Still Music,LP 012-1,Ace oldschool Chicago Acid House set; comes w/ insert & extensive liner notes,72217
Robert Owens,Bring Down The Walls,Trax,132,"Reissued via UK; deadly, eternal, essential Larry Heard production - dream team tunes!",04299
QX 1,Tribute EP,PND,010,"Reissue of Mike Dunn prod. fantastic, original House / Acid House cuts from 1991",30654
DJ Milton,Get The Cash EP,Chiwax,Classic Edition 010,"Reissue of raw, original Dance Mania House banger",69787
Paul Johnson,Let Me Know,Chiwax,Classic Edition Cpjtx 006,Proper reissue of classic 1994 Cajual joint - jacking Chicago traxxx work out,25321
Virgo Four,E-series Part 4,Chiwax,V 404,Killer original Chicago oldschool Acid House centered EP,51079
Bernard Badie,Time Reveals,Mojuba,010,Reissue of essential House,56545
Bernard Badie,Groove In You,Mojuba,026,"Flash back on jacking, Disco rooted, original Chicago House",33065
Vincent Floyd,Your Eyes,Rush Hour,RSS 010,Valuable reissue of classic 1990 Dance Mania Deep House killers - Essentialness!,70147
Vincent Floyd,Moonlight Fantasy,Rush Hour,RHM 008,Sublime previously unreleased Deep House produced by a Dance Mania stalwart,72128
Fast Eddie & Traxman,Tha Westsiders,Factory Music Chicago,002,"Classic, dry, highly effective Chicago Acid tracks workouts",33982
Steve Poindexter,Short Circuit,Housetime,1017,"Re-issue via UK; raw, eternal Chicago Acid House",01161
Kareem Smith,NB Battle Track,Saber,3004,"Reissue via UK; original, eternal Chicago House",03291
Jackmaster Dick’s Revenge,Sensuous Woman Goes Disco,Trax,111,"Repress via UK; Chicago House w/ legendary, comedic, explicit lyrics",03235
Bam Bam,Give It To Me,Westbrook,BB-WB 105,Reissue via UK; ultra essential Chicago Acid House classic,40096
Ten City,Devotion,Atlantic,86652,House classic. Marshall Jefferson prod. superb Chicago deep house 87,47711
LNR,Work It To The Bone,House Jam,8803,A classic Chicago house track by Ricky Lenoir & Larry Thompson 1987,40559
Jeanette Thomas,Dub Your Body,RL,1010,Re-release of classic Chicago house & disco tracks,35697
Boo Williams vs. Glen Underground,Motion Sickness,Maad,6001,"Reissued via UK - wild, raw, original Chicago House gem - Recommended!",01877
DJ Skull,NRG Music,Saber,3008 Reissue,"Reissue via UK; legendary Ron Maney produced 1991 EP & true oldschool, lo-fi Chicago House gem",31028
Various Artists,122 BPM - The Birth Of House Music - Mitchbal Records & Chicago Connection Records,Still Music,LP 006,"Luxury Proto-House/Disco compilation, comes in gatefold sleeve",66410
Jungle Wonz,Time Marches On,Trax,135,Repress via UK - very classic Marshall Jefferson House production,04310
Hercules,Lost In The Groove,Trax,152,Reissue via UK; Marshall Jefferson prod. eternal Chicago House classic,00110
Lidell Townsell,Get The Hole,Trax,158,Reissue via UK; 1988 original Chicago Acid House,03426
Laurent X,Machines EP,Trax,163,"Reissue via UK - formerly a House Nation release; eternal, original Acid House",01079
M.E.,Ride,Trax,176,"Repress via UK; Virgo prod. classic, spaced out, original Chicago Acid House",01689
Various Artists,From The Vaults Vol. 2,Trax,20152,UK issue; irresistible Chicago House blueprints,34624
Master C & J,The Legendary Master C & J Feat. Liz Torres,Trax,5075,Reissue via UK; essential Chicago House issued between 1986 to 1989,42005
Various Artists,Chicago Trax Vol. 1,Trax,Chi 001,"Reissue via UK; original, early Chicago Acid House compiled",07780
Mike Dunn,Dance You Mutha,Westbrook,MD-WB 2,"Anthem alert - eternal, block-building Chicago House - reissue via UK",04357
K. Alexi Shelby,All For Lee-Sah,Transmat,008,Reissue of pivotal Acid House divinity - Essential must have!,04122
Skyman I,Focus,Dance Mania,058,Reissue via UK; hard jacking Chicago traxx work out,10069
Steve Poindexter,Work That Mutha....,Dance Mania,303,Proper reissue via UK; one of these significant Chicago super classics any self-respecting person should own,69970
Mr. Fingers,Slam Dance,Alleviated Music,2206,Valuable high quality reissue of eternal Larry Heard prod. house - Essential Must Have!,60166
Loosefingers,Glancing At The Moon,Alleviated Music,2221,Sublime Larry Heard prod. Acid / Deep House classics,42759
Larry Heard,Alien,Alleviated Music,9009,Valuable reissue of wonderful spaced out 1996 House album,70615
Neal Howard,To Be Or Not To Be EP,Clone,CC 32,Valuable reissue of 1988 Future Sound classic w/ Gerd updated track & Mayday remix,77523
Robert Armani,Arrow,Chiwax,Classic Edition 003,Reissue of mid 1990s banging Chicago Techno Traxx,67744
Sneaky Tim,What’s Your Function Pt. 2,Chiwax,Classic Edition 015.1,Original Dance Mania House traxx reissued w/ tripping remix,30527
Houz’ Mon,-3- Ghetto Houz EP,Chiwax,Classic Edition 019,"Dance Mania gem reissued in full -  jacking, original Chicago Traxx works",72997
Fingers Inc.,I’m Strong,Alleviated Music,2348,2017 reissue of eternal Larry Heard prod. House w/ Robert Owens' golden vocals - Essential Must Have!,77484
Houz’ Mon,Fear Tha World,Another Day,003,Double A-side pressing - reissued Chicago oldschool House gem,71352
Mike Dunn,So Let It Be House,Clone,CC 07,Valuable reissue of eternal Chicago House classics - Essential Must Have!,53830
Hardcore Traxx,The Track Stars,Dance Mania,082,Reissue via UK; Jammin Gerald & Parris Mitchell prod. Chicago traxx work out,01383
Master C & J,When You Hold Me,Trax,118,Reissue via UK; eternal Chicago House classic - still deadly & effective,04256
Eric Bell,Your Love,Trax,139,Reissue via UK; late 1980s strongly New Wave related Chicago House,21869
Various Artists,Chicago Trax Vol. 2,Trax,Chi 002,Reissue via UK; original Chicago Acid House compiled,07779
Disco D,Dance Tracs,Alleviated Music,2202,Larry Heard prod. 1986  Deep House and rhythm tracks - Essential alert!,66763
Drew Sky,Straight From The Hideout,Chiwax,Classic Edition 004,Reissue of mid 1990’s Dance Mania traxx banger - Essential stuff!,67405
Sneaky Tim,What’s Your Function Pt. 1,Chiwax,Classic Edition 015,Original Dance Mania House traxx reissued w/ tripping remix,71201
The Night Writers,Let The Music ( Use You ),Mint Condition,010,Proper reissue of Frankie Knuckles prod. 1987 Chicago House super classic,11337
Frankie Knuckles,Baby Wants To Ride,Trax,150,Repressed via UK; Eternal Chicago House classic,01700
Maurice Joshua,I Gotta Big Dick,Trax,169,Reissue via UK; 1988 Chicago Acid House classic,67610
Virgo,Virgo,Trax,2018 002,"Issued via UK - Eric Lewis and Merwyn Sanders prod. ingenious, block building Chicago House EP repacked for eternity",19932
Paul Johnson,Second Coming,Chiwax,CPJTX 005,"20th anniversary reissue - pure, bouncy, jacking Chicago Techno",12216
Genrty Ice / Adonis,Do You Wanna Jack,Chiwax,Classic Edition 030,"Proper reissue of jacking, original Chicago Acid House at its very best",08922
DJ Milton,Trax 4 Daze,Chiwax,Classic Edition 031,"Dry to the bone, eternal Chicago jack traxxx work out - reissue of an original Dance Mania joint",03166
Parris Mitchell & R.J. Hall,Work It! “94”,Dance Mania,055,Reissue via UK; classic Chicago traxx works,02457
Parris Mitchell,Butter Fly,Dance Mania,056,"Reissue via UK - classic, reduced-to-intensify, bouncing House stomper",30216
Fingers Inc.,Another Side,Alleviated Music,9001,Valuable reissue of superlative classic 80s Chicago House milestone,74104
Adonis pres. Charles B,Lack Of Love EP,Mathematics,051,Classic Adonis track from 1988. Steve Poindexter remix,62921
The Faces Of Drums,Thanks 4 The Tracks U Lost Vol.1,Mathematics,080,Official copy. Jamal Moss & Steve Poindexter produced,73124
Phuture,Acid Tracks,Trax,142,Reissue via UK - 1987 corner stone House classic,15554
The Sanctuary Project,Running It,House Jam,9434,Reissue via UK; 1994 Chicago (Disco) House gem,04927
Mike Dunn,presents MD III: Face The Nation,Clone,CC 01,Reissue of essential late 1980s Chicago house tracks - Essential Must Have!,52283
Da Posse,It’s My Life (Aluh Mix),Clone,CC 18,Valuable reissue of eternal Chicago House classics - Essential Must Have!,59578
Lester Fitzpatrick,Tone Control,Chiwax,Classic Edition 017,Reissue of hard jacking 1995 Relief Chicago House traxx EP,71969
Paul Johnson,Traxx Series Volume 1 - Stop Trippin’ EP,Chiwax,Classic Edition Cpjtx 001,Mid 1990s hard jacking Chicago traxx works reissued,71673
Gemini,R U Afraid,Chiwax,Gtx 003,"Reissue of crafty, eternal Chicago House",70694
Gemini,Imagine A Nation,Another Day,004,20 year anniversary reissue: ingenious full range Chicago House album,18212
Marshall Jefferson,The House Music Anthem,Trax,117,Reissue via UK; THE legendary Chicago House anthem,04245
The Housemaster Boyz & The Rude Boy Of House,House Nation,Trax,TXR 06,Reissue via UK; classic Chicago Acid House,51341
Gherkin Jerks,Stomp The Beat EP,Alleviated Music,2219,Essential late 80's Larry Heard prod. Chicago Trackstyle prototypes reissued - The Business!,36947
The Housefactors,Play It Loud,Black Market,010,Essential 1988 Larry Heard prod. Chicago Trackstyle prototypes reissued - The Business!,65337
Kool Rock Steady,Power Move,Trax,174,Reissue via UK; original Chicago Acid / Hip House,07781
Paul Johnson,The Other Side Of Me,Chiwax,Classic Edition Cpjtx 004,20th anniversary of PJ album for Relief - proper reissue of hard pumping Disco House,75240
Virgo Four,E-Series Part 2,Chiwax,V 402,Oldschool Chicago Acid House revival EP,71306
DJ Deeon,Freakmode EP,Chiwax,Classic Edition 014,"Reissue of raw, original Dance Mania House bangers",71073
DJ Spookie,What,Chiwax,Classic Edition 029,"A 1995 Relief classic properly reissued in full - original, hard Chicago traxxx work out",42400
Boo Williams,Residual EP,Rush Hour,BW 1,Reissue of eternal Chicago house,60781
William S,I’ll Never Let You Go,Trax,141,Reissue via UK; 1987 Chicago House gem,40145
The Sun God & Daryl Cura,The CS Strategy,Eargasmic,4002,Repress of Jamal Moss & Daryl Cura classics,44048
The Lil Nick Cru feat. Parris Mitchell,Muthafuckin Dog,Chiwax,Classic Edition 006,"Original, pure, classy Chicago drum tracks work",68505
Virgo Four,E-Series Part 1,Chiwax,V 401,Oldschool Chicago Acid House revival EP,70134
Virgo Four,Resurrection,Rush Hour,113 LP,Compilation of essential House music from formative years - Essential Must Have!,65340
Gemini,The Music Hall,Chiwax,Gtx 006,"Eternal, bassline centered, Detroit-Techno atmospheric, late night House album",77047
James “Jack Rabbit” Martin,There Are Dreams And There Is Acid,Still Music,038,Repress via UK; psychedelic Chicago Acid House at its very best,71959
Heaven And Earth,Prescription EP,Running Back,020,Proper reissue of classic 1995 Prescription House,60068
The It,Donnie,Alleviated Music,2342,Valuable reissue of Chicago Allstars 1986 House classic,71103
DJ Joe Lewis,Survival EP,Clone,CC 33,Valuable reissue of 1990 Chicago House gems expanded w/ unreleased versions,77524
Gherkin Jerks,1990 EP,Alleviated Music,2305,Essential late 80's Larry Heard prod. Chicago Trackstyle prototypes reissued - The Business!,68114
K.A. Posse,Our Love Stops And Goes,La Bella Di Notte,002,"Reissue of awesome, K. Alexi prod. original Chicago Acid House milestone previously on Phercee City in 1989",80287
Ron Maney,2 Entities,Chiwax,Classic Edition 018,Aka DJ Skull stomping Chicago Techno EP,30659
Jammin The House Gerald,Factory Muzic,Chiwax,Classic Edition 020,"Reissued hard slamming, original Chicago traxx works",73594
Drew Sky,Fuk 2 Nite,Chiwax,Classic Edition 021,Classic Chicago traxxx works,73969
Paul Johnson,Traxx Series Volume 2 - The Music In Me EP,Chiwax,Classic Edition Cpltx 002,Mid 1990s hard jacking Chicago traxx works reissued,72535
